"rules","support","confidence","coverage","lift","count"
"{LUNCH,Lobby Bar,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.101609997748255,0.7882096069869,0.128912407115515,2.00742013742155,1805
"{Coffee/Tea,LUNCH,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.10470614726413,0.787801778907243,0.132909254672371,2.00638147677538,1860
"{DINNER,LUNCH,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.109209637469039,0.784472300849171,0.139214140959243,1.99790192864296,1940
"{Coffee/Tea,LUNCH,Lobby Bar,Salads,Snacks/Sandwich} => {Soups}",0.109209637469039,0.780684104627767,0.13988966448998,1.98825411248855,1940
"{DINNER,LUNCH,Lobby Bar,Salads,Snacks/Sandwich} => {Soups}",0.113206485025895,0.778552071234998,0.145406439990993,1.9828242284471,2011
"{Coffee/Tea,DINNER,LUNCH,Salads,Snacks/Sandwich} => {Soups}",0.115570817383472,0.778241091736164,0.148502589506868,1.98203222273853,2053
"{Coffee/Tea,LUNCH,Lobby Bar,Main Courses,Snacks/Sandwich} => {Soups}",0.117315919837874,0.775009297136482,0.151373564512497,1.97380145581827,2084
"{Coffee/Tea,Lobby Bar,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.112080612474668,0.772603802871556,0.145068678225625,1.9676751188832,1991
"{DINNER,LUNCH,Lobby Bar,Main Courses,Snacks/Sandwich} => {Soups}",0.122157171808151,0.770596590909091,0.15852285521279,1.96256313131313,2170
"{Coffee/Tea,DINNER,LUNCH,Main Courses,Snacks/Sandwich} => {Soups}",0.124915559558658,0.765172413793103,0.163251519927944,1.94874878259795,2219
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Salads} => {Dessert}",0.10763341589732,0.511777301927195,0.210312992569241,1.93966545582135,1912
"{Coffee/Tea,DINNER,Lobby Bar,Salads,Snacks/Sandwich} => {Soups}",0.126266606620131,0.761112996267391,0.165897320423328,1.93841021730379,2243
"{DINNER,Lobby Bar,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.120186894843504,0.757629524485451,0.158635442467913,1.92953847640997,2135
"{Coffee/Tea,DINNER,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.124971853186219,0.753308449270444,0.165897320423328,1.91853351868676,2220
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Snacks/Sandwich} => {Soups}",0.134992118892141,0.750547730829421,0.179858140058545,1.91150249325503,2398
"{Coffee/Tea,DINNER,LUNCH,Lobby Bar,Snacks/Sandwich} => {Soups}",0.133753659085791,0.744594171106236,0.1796329655483,1.89633990760304,2376
"{Coffee/Tea,LUNCH,Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.10470614726413,0.760425183973835,0.137694213015087,1.8234601738811,1860
"{DINNER,LUNCH,Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.109209637469039,0.759890325107716,0.143717631164152,1.82217761004502,1940
"{LUNCH,Lobby Bar,Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.101609997748255,0.758084838303234,0.134035127223598,1.81784814627682,1805
"{Coffee/Tea,LUNCH,Lobby Bar,Main Courses,Salads} => {Soups}",0.12333933798694,0.711594673595323,0.173328079261428,1.81229645616449,2191
"{Coffee/Tea,DINNER,LUNCH,Main Courses,Salads} => {Soups}",0.131501913983337,0.711544319220225,0.184811979283945,1.81216821313664,2336
"{Coffee/Tea,DINNER,LUNCH,Salads,Soups} => {Snacks/Sandwich}",0.115570817383472,0.755057006252299,0.153062373339338,1.81058756196893,2053
"{DINNER,LUNCH,Lobby Bar,Main Courses,Salads} => {Soups}",0.128011709074533,0.710847139731166,0.180083314568791,1.81039262941712,2274
"{Coffee/Tea,Lobby Bar,Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.112080612474668,0.751604379010948,0.149121819410043,1.80230834081405,1991
"{DINNER,LUNCH,Lobby Bar,Salads,Soups} => {Snacks/Sandwich}",0.113206485025895,0.751494768310912,0.1506417473542,1.80204550003713,2011
"{Coffee/Tea,DINNER,Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.124971853186219,0.749746707193516,0.166685431209187,1.79785374008985,2220
"{Coffee/Tea,LUNCH,Lobby Bar,Salads,Soups} => {Snacks/Sandwich}",0.109209637469039,0.749034749034749,0.145800495383923,1.79614650133009,1940
"{Coffee/Tea,DINNER,LUNCH,Main Courses,Soups} => {Snacks/Sandwich}",0.124915559558658,0.744131455399061,0.167867597387976,1.78438865735812,2219
