"rules","support","confidence","coverage","lift","count"
"{Soups} => {Snacks/Sandwich}",0.256755235307363,0.653906810035842,0.392648052240486,1.56803463464858,4561
"{Snacks/Sandwich} => {Soups}",0.256755235307363,0.615685745140389,0.417023192974555,1.56803463464858,4561
"{Beer Domestic Draft} => {Lobby Bar}",0.208286421977032,0.848040339216136,0.245609097050214,1.53064301827224,3700
"{Sides} => {Soups}",0.134879531637019,0.599299649824912,0.225061922990317,1.52630236265086,2396
"{Dessert} => {Coffee/Tea}",0.219939202882234,0.833582248773203,0.263848232380095,1.5218658856328,3907
"{Starters} => {Snacks/Sandwich}",0.137581625759964,0.631035373095791,0.218025219545147,1.51319011442679,2444
"{Sides} => {Snacks/Sandwich}",0.1407340689034,0.625312656328164,0.225061922990317,1.49946733625992,2500
"{Whiskey} => {Lobby Bar}",0.122776401711326,0.823018867924528,0.149178113037604,1.48548132186662,2181
"{Sides} => {Main Courses}",0.190947984688133,0.848424212106053,0.225061922990318,1.48472147609614,3392
"{Sides} => {Salads}",0.158297680702544,0.703351675837919,0.225061922990317,1.4800212235945,2812
"{Beer Import Draft} => {Lobby Bar}",0.189540643999099,0.819022135733398,0.231423102904751,1.47826754919407,3367
"{Starters} => {Soups}",0.126097725737447,0.578363026077976,0.218025219545147,1.47298075917551,2240
"{LUNCH} => {Coffee/Tea}",0.387131276739473,0.79807357549031,0.48508218869624,1.4570379234337,6877
"{Coffee/Tea} => {LUNCH}",0.387131276739473,0.706783144912641,0.547736996172033,1.4570379234337,6877
"{Starters} => {Salads}",0.149515874802972,0.6857733023496,0.218025219545147,1.44303209463851,2656
"{Beer Import Bottle} => {Lobby Bar}",0.113487953163702,0.794952681388013,0.142760639495609,1.43482416502506,2016
"{Glass Wine} => {Lobby Bar}",0.140790362530961,0.791205314773806,0.177944156721459,1.42806047669599,2501
"{Soups} => {Salads}",0.265931096599865,0.677275985663082,0.392648052240486,1.42515169501528,4724
"{Salads} => {Soups}",0.265931096599865,0.559583037194977,0.475230803873002,1.42515169501528,4724
"{Beer Domestic Draft} => {Snacks/Sandwich}",0.145462733618554,0.592253036901215,0.245609097050214,1.42019208254768,2584
"{LUNCH} => {Lobby Bar}",0.379756811528935,0.782871068817454,0.48508218869624,1.41301784865609,6746
"{Lobby Bar} => {LUNCH}",0.379756811528935,0.685429790692949,0.554041882458906,1.41301784865609,6746
"{Beer Domestic Draft} => {LUNCH}",0.167192073857239,0.680724272289709,0.245609097050214,1.40331739270679,2970
"{Soft Drink} => {Lobby Bar}",0.184924566539068,0.775678866587957,0.23840351272236,1.40003651555258,3285
"{Lobby Bar} => {Coffee/Tea}",0.424848007205584,0.766815687868319,0.554041882458906,1.39997059396637,7547
"{Coffee/Tea} => {Lobby Bar}",0.424848007205584,0.775642343268243,0.547736996172033,1.39997059396637,7547
"{Starters} => {Coffee/Tea}",0.166066201306012,0.761683449522334,0.218025219545147,1.3906006985935,2950
"{Starters} => {Lobby Bar}",0.167755010132853,0.769429382907307,0.218025219545147,1.38875671184367,2980
"{Beer Domestic Draft} => {Soups}",0.133809952713353,0.544808617923447,0.245609097050214,1.38752405574081,2377
"{Soft Drink} => {Snacks/Sandwich}",0.137694213015087,0.577567886658796,0.23840351272236,1.38497785348365,2446
"{Glass Wine} => {Salads}",0.116978158072506,0.657386902878836,0.177944156721459,1.38330027751003,2078
"{Dessert} => {Soups}",0.143267282143661,0.542991252400256,0.263848232380095,1.38289557098755,2545
"{Dessert} => {Lobby Bar}",0.201474893042108,0.763601450821421,0.263848232380095,1.37823777406947,3579
"{Sides} => {Coffee/Tea}",0.169218644449448,0.751875937968984,0.225061922990317,1.37269518623649,3006
"{Soups} => {LUNCH}",0.260977257374465,0.664659498207885,0.392648052240486,1.37019975933212,4636
"{LUNCH} => {Soups}",0.260977257374465,0.53800626668214,0.48508218869624,1.37019975933212,4636
"{Beer Domestic Draft} => {Coffee/Tea}",0.183573519477595,0.7474214989686,0.245609097050214,1.36456274487957,3261
"{Soft Drink} => {Soups}",0.127505066426481,0.53482880755608,0.23840351272236,1.36210737454139,2265
"{Salads} => {Snacks/Sandwich}",0.269759063274037,0.567638000473821,0.475230803873002,1.3611665011362,4792
"{Snacks/Sandwich} => {Salads}",0.269759063274037,0.646868250539957,0.417023192974555,1.3611665011362,4792
"{Starters} => {Main Courses}",0.169387525332132,0.776917118512781,0.218025219545148,1.35958582339287,3009
