"rules","support","confidence","coverage","lift","count"
"{Coffee/Tea,DINNER,LUNCH,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.101047061472641,0.789010989010989,0.128068002702094,2.00946110520304,1795
"{Coffee/Tea,DINNER,LUNCH,Lobby Bar,Salads,Snacks/Sandwich} => {Soups}",0.10555055167755,0.780274656679151,0.135273587029948,1.98721132634386,1875
"{Coffee/Tea,DINNER,LUNCH,Lobby Bar,Main Courses,Snacks/Sandwich} => {Soups}",0.113037604143211,0.774392595449287,0.145969376266607,1.9722308337722,2008
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.109603692861968,0.771394611727417,0.142085115964873,1.96459553874205,1947
"{Coffee/Tea,DINNER,LUNCH,Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.101047061472641,0.768407534246575,0.131501913983337,1.8426014360632,1795
"{Coffee/Tea,DINNER,LUNCH,Lobby Bar,Salads,Soups} => {Snacks/Sandwich}",0.10555055167755,0.759109311740891,0.139045260076559,1.82030478047586,1875
"{Coffee/Tea,DINNER,LUNCH,Lobby Bar,Main Courses,Salads} => {Soups}",0.118948435037154,0.713128585892676,0.16679801846431,1.81620303939749,2113
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.109603692861968,0.757292882147025,0.144730916460257,1.81594907646595,1947
"{Coffee/Tea,DINNER,LUNCH,Lobby Bar,Main Courses,Soups} => {Snacks/Sandwich}",0.113037604143211,0.747301823595087,0.151260977257374,1.79199103595345,2008
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Snacks/Sandwich,Soups} => {LUNCH}",0.113037604143211,0.837364470391993,0.134992118892141,1.726232151798,2008
"{Coffee/Tea,DINNER,Lobby Bar,Salads,Snacks/Sandwich,Soups} => {LUNCH}",0.10555055167755,0.835934016941596,0.126266606620131,1.72328326296281,1875
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Snacks/Sandwich,Soups} => {Salads}",0.109603692861968,0.811926605504587,0.134992118892141,1.70848900973507,1947
"{DINNER,LUNCH,Lobby Bar,Main Courses,Salads,Snacks/Sandwich} => {Coffee/Tea}",0.116358928169331,0.935717519239475,0.124352623283044,1.70833360860946,2067
"{DINNER,LUNCH,Lobby Bar,Salads,Snacks/Sandwich,Soups} => {Coffee/Tea}",0.10555055167755,0.932371954251616,0.113206485025895,1.70222563158538,1875
"{Coffee/Tea,DINNER,LUNCH,Main Courses,Snacks/Sandwich,Soups} => {Salads}",0.101047061472641,0.808922938260478,0.124915559558658,1.70216857086699,1795
"{DINNER,LUNCH,Lobby Bar,Main Courses,Salads,Soups} => {Coffee/Tea}",0.118948435037154,0.92919964819701,0.128011709074533,1.69643397230953,2113
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Salads,Soups} => {LUNCH}",0.118948435037154,0.821859198755348,0.144730916460257,1.69426793625276,2113
"{DINNER,LUNCH,Lobby Bar,Main Courses,Snacks/Sandwich,Soups} => {Coffee/Tea}",0.113037604143211,0.925345622119816,0.122157171808151,1.68939770106232,2008
"{DINNER,LUNCH,Main Courses,Salads,Snacks/Sandwich,Soups} => {Coffee/Tea}",0.101047061472641,0.925257731958763,0.109209637469039,1.6892372405463,1795
"{Coffee/Tea,DINNER,Lobby Bar,Main Courses,Salads,Snacks/Sandwich} => {LUNCH}",0.116358928169331,0.818938193343899,0.142085115964873,1.68824626512255,2067
