"rules","support","confidence","coverage","lift","count"
"{Beer Domestic Draft,Soups} => {Snacks/Sandwich}",0.101215942355325,0.756415649978965,0.133809952713353,1.81384551919902,1798
"{Lobby Bar,Snacks/Sandwich} => {Soups}",0.194269308714254,0.709206740649404,0.273924791713578,1.80621484457291,3451
"{LUNCH,Snacks/Sandwich} => {Soups}",0.182672821436613,0.705588171341596,0.258894393154695,1.79699903594439,3245
"{Dessert,Snacks/Sandwich} => {Soups}",0.102398108534114,0.700423565652676,0.146194550776852,1.78384576634468,1819
"{Beer Domestic Draft,Snacks/Sandwich} => {Soups}",0.101215942355325,0.695820433436533,0.145462733618554,1.7721224630203,1798
"{Coffee/Tea,Snacks/Sandwich} => {Soups}",0.193818959693763,0.686814282864552,0.282199954965098,1.74918550835927,3443
"{Salads,Snacks/Sandwich} => {Soups}",0.184023868498086,0.682178631051753,0.269759063274037,1.73737938379976,3269
"{Dessert,LUNCH} => {Coffee/Tea}",0.160774600315244,0.940401712216003,0.17096374690385,1.71688551036023,2856
"{LUNCH,Salads} => {Soups}",0.186951137131277,0.673494220239302,0.277583877505066,1.71526183918724,3321
"{Dessert,Soups} => {Snacks/Sandwich}",0.102398108534114,0.714734774066798,0.143267282143661,1.7138969393254,1819
"{Main Courses,Snacks/Sandwich} => {Soups}",0.202994820986264,0.672886732599366,0.301677550101329,1.71371468356919,3606
"{Salads,Sides} => {Soups}",0.106113487953164,0.670341394025605,0.158297680702544,1.70723218974492,1885
"{Coffee/Tea,Whiskey} => {Lobby Bar}",0.101272235982887,0.94386149003148,0.107295654131952,1.70359230938013,1799
"{Lobby Bar,Sides} => {Soups}",0.10594460707048,0.667375886524823,0.158748029723035,1.69967960548057,1882
"{Beer Domestic Draft,Salads} => {Snacks/Sandwich}",0.10802747129025,0.706813996316759,0.152837198829093,1.69490332486108,1919
"{Beer Domestic Draft,Salads} => {Soups}",0.101497410493132,0.664088397790055,0.152837198829093,1.69130699617814,1803
"{Coffee/Tea,Sides} => {Soups}",0.112136906102229,0.662674650698603,0.169218644449448,1.68770645089749,1992
"{Beer Domestic Draft,LUNCH} => {Lobby Bar}",0.156327403737897,0.935016835016835,0.167192073857239,1.68762843499686,2777
"{Beer Import Draft,LUNCH} => {Lobby Bar}",0.135611348795316,0.933359163115072,0.14529385273587,1.68463647364114,2409
"{Dessert,Lobby Bar} => {Coffee/Tea}",0.18582526458005,0.922324671696005,0.201474893042108,1.68388237081273,3301
"{Beer Domestic Draft,Coffee/Tea} => {Lobby Bar}",0.171132627786535,0.932229377491567,0.183573519477595,1.68259730357246,3040
"{LUNCH,Soups} => {Snacks/Sandwich}",0.182672821436613,0.699956859361519,0.260977257374465,1.67846026588796,3245
"{LUNCH,Soft Drink} => {Lobby Bar}",0.140227426255348,0.929824561403509,0.150810628236884,1.67825680845071,2491
"{Beer Import Draft,Coffee/Tea} => {Lobby Bar}",0.151880207160549,0.928743545611015,0.163532988065751,1.67630566391324,2698
"{Salads,Starters} => {Snacks/Sandwich}",0.104255798243639,0.697289156626506,0.149515874802972,1.67206325301205,1852
"{Coffee/Tea,Soups} => {Snacks/Sandwich}",0.193818959693763,0.693035426731079,0.279666741724837,1.66186302921853,3443
"{Salads,Soups} => {Snacks/Sandwich}",0.184023868498086,0.691998306519898,0.265931096599865,1.65937606871213,3269
"{Sides,Soups} => {Salads}",0.106113487953164,0.786727879799666,0.134879531637019,1.655464825487,1885
"{LUNCH,Main Courses} => {Soups}",0.207498311191173,0.648715241112284,0.319860391803648,1.65215448646862,3686
"{Salads,Sides} => {Snacks/Sandwich}",0.108984462958793,0.688477951635846,0.158297680702544,1.65093444018077,1936
"{Coffee/Tea,Starters} => {Soups}",0.10763341589732,0.648135593220339,0.166066201306012,1.65067823340016,1912
"{Lobby Bar,Soups} => {Snacks/Sandwich}",0.194269308714254,0.686766169154229,0.282875478495834,1.64682967452156,3451
"{Dessert,Salads} => {Soups}",0.109040756586354,0.646312979646313,0.168712001801396,1.64603638285837,1937
"{Dessert,Soups} => {Coffee/Tea}",0.128968700743076,0.900196463654224,0.143267282143661,1.64348304011856,2291
"{Beer Domestic Draft,Coffee/Tea} => {LUNCH}",0.146250844404413,0.796688132474701,0.183573519477595,1.64237762391558,2598
"{Salads,Soft Drink} => {Snacks/Sandwich}",0.102735870299482,0.684803001876173,0.150022517451025,1.64212210115123,1825
"{Coffee/Tea,Soft Drink} => {Lobby Bar}",0.155539292952038,0.909479921000658,0.171020040531412,1.6415364068945,2763
"{Glass Wine,LUNCH} => {Lobby Bar}",0.100371537941905,0.907379134860051,0.110616978158073,1.63774466080613,1783
"{Lobby Bar,Salads} => {Soups}",0.202431884710651,0.642831605291384,0.314906552578248,1.63716998371271,3596
"{Coffee/Tea,Sides} => {Snacks/Sandwich}",0.115458230128349,0.682302062541584,0.169218644449448,1.63612497826521,2051
"{Coffee/Tea,Starters} => {Snacks/Sandwich}",0.113150191398334,0.68135593220339,0.166066201306012,1.6338562067577,2010
"{Beer Domestic Draft,Main Courses} => {Soups}",0.112925016888088,0.640689875439157,0.176255347894618,1.63171540463099,2006
"{Main Courses,Starters} => {Snacks/Sandwich}",0.115176761990543,0.679960119641077,0.169387525332132,1.6305091205864,2046
"{Sides,Snacks/Sandwich} => {Salads}",0.108984462958793,0.7744,0.1407340689034,1.62952399905236,1936
"{Coffee/Tea,Salads} => {Soups}",0.206316145012385,0.639616055846422,0.322562485926593,1.62898059011553,3665
"{Beer Domestic Draft,Main Courses} => {Snacks/Sandwich}",0.119455077685206,0.677738741616097,0.176255347894618,1.62518237122953,2122
